Fax Number,Organization (Client Name),Manager (For the client org),Emails,,,,,,,
12108923813,eHealth Screening,T3 Comm,help@ehealthscreenings.com,eshipp@ehealthscreenings.com,sengleka@ehealthscreenings.com,jcunningham@ehealthscreenings.com,,,,
12108923653,eHealth Screening,T3 Comm,ehs.physicianscreening@ehealthscreenings.com,,,,,,,
12085142640,Ray Core,ECSI,fax@raycore.com,,,,,,,
12108923852,Alamo Ranch Animal Hospital,T3 Comm,frontdesk@alamoranchvets.com,,,,,,,
16012587019,Mississippi Tent & Party Rental,Sync IT Solution,Rdodd@mississippitent.com,Donna@mississippitent.com,Ron@mississippitent.com,Tyler@mississippitent.com,Lee@mississippitent.com,,,
12108923893,Integra Institute,Dunn Communications,fax@integrainstitute.org,jd@integrainstitute.org,,,,,,
13617230923,City of Alice,T3 Comm,renee.arismendez@cityofalice.org,,,,,,,
13612090912,City of Alice,T3 Comm,teresa.vasquez@cityofalice.org,jim.hicks@cityofalice.org,Taylor.vickers@cityofalice.org,roland.ramos@cityofalice.org,vanessa.torres@cityofalice.org,olga.moreno@cityofalice.org,,,
12106001004,McCorkle Commercial Insurance,T3 Comm,smorgan@mccorkle-insurance.com,,,,,,,
19037922976,Workforce Solutions,T3 Comm,txk.faxes@netxworks.org,,,,,,,
18175419008,City of Benbrook,T3 Comm,Dgreen@benbrook-tx.gov,,,,,,,
15125432327,Equity Trading Company,A1 Biz,heather@superiordisposal.com,travis@equitytradingcompany.com,,,,,,
15055140661,City of Benbrook,T3 Comm,wramirez@benbrook-tx.gov,records1@benbrook-tx.gov,Dispatch@benbrook-tx.gov,,,,,
18306257876,City of Benbrook,T3 Comm,kharris@benbrook-tx.gov,,,,,,,
18302402148,City of Benbrook,T3 Comm,jsmith@benbrook-tx.gov,dsavage@benbrook-tx.gov,,,,,,
17138931305,City of Benbrook,T3 Comm,mullinax@benbrook-tx.gov,jlewallen@benbrook-tx.gov,rlawrence@benbrook-tx.gov,jhatton@benbrook-tx.gov,jwhiteside@benbrook-tx.gov,rmatlack@benbrook-tx.gov,,,
17133579435,City of Benbrook,T3 Comm,jdelatorre@benbrook-tx.gov,dbock@benbrook-tx.gov,sstevens@benbrook-tx.gov,,,,,
17133579386,City of Benbrook,T3 Comm,Jking@benbrook-tx.gov,,,,,,,
13618814331,City of Alice,T3 Comm,elma.rodriguez@cityofalice.org,rolando.resendez@cityofalice.org,,,,,,
18305212536,Borrego Fine Jewelry,T3 Comm,robertborrego1@gmail.com,,,,,,,
12082058721,LDA Security,ECSI,keri@ldasecurity.com,,,,,,,
13615854456,City of Alice,T3 Comm,odilia.rodriguez@cityofalice.org,Becky.Guerra@cityofalice.org,rene.marshall@cityofalice.org,,,,,
18327537038,Intergulf Corporation,T3 Comm,nrosas@intergulfcorp.com,trussell@intergulfcorp.com,lrideaux@intergulfcorp.com,,,,,
12546131700,Green Acres Rental,T3 Comm,admin@greenacresrental.com,,,,,,,
15126416163,Austin Discovery School,Artcom,dfreeman@austindiscoveryschool.org,,,,,,,
12818280678,Intergulf Corporation,T3 Comm,zzitterkob@intergulfcorp.com,,,,,,,
12106402094,Kairoi Residential,Artcom,mmarceau@kairoi.com,,,,,,,
12108923818,Kairoi Residential,Artcom,mlynd@kairoi.com,,,,,,,
12108923612,Kairoi Residential,Artcom,dzunker@kairoi.com,,,,,,,
12108923838,UNKNOWN,T3 Comm,umsfaxes@gmail.com,,,,,,,
16093878843,Netcom Systems,T3 Comm,justin@dominionbusinessgroup.com,jen@dominionbusinessgroup.com,,,,,,
13618814582,St. Elizabeth Church,T3 Comm,pgarcia@sesalice.org,mtorres@sesalice.org,dcanchola@sesalice.org,,,,,
12106401941,Kellum Physician Partners,T3 Comm,c.debosquez@kellumfamilymedicine.com,,,,,,,
12106402089,Western Title,HTS Voice & Data,ssims@westerntitlebandera.com,jschultz@westerntitlebandera.com,kmorgan@westerntitlebandera.com,acosta@westerntitlebandera.com,heather@westerntitlebandera.com,,,,
12145562391,City of Benbrook,T3 Comm,bfischer@benbrook-tx.gov,,,,,,,
12109797357,Katzman & Katzman,T3 Comm,cecilia@katzmanandkatzman.com,alex@katzmanandkatzman.com,,,,,,
12105582000,Scott Insurance Services,Dunn Communications,scottinsurance@live.com,,,,,,,
12082254242,Holst Truck Parts,ECSI,holstcollision@gmail.com,,,,,,,
12106001005,Four Seasons OB/GYN,T3 Comm,frontdesk@fourseasonsobgyn.com,,,,,,,
19042931354,National Carburetors,T3 Comm,sales@nationalcarburetors.com,,,,,,,
12109820188,Cisneros Miramontes,HTS Voice & Data,lcross@cm.capital,claudia@cm.capital,nclark@cm.capital,hcisneros@cm.capital,brad@cm.capital,,,
12106401939,Masters Dental Group,T3 Comm,appt@mdgteam.com,,,,,,,
18307833425,Sure Seal,TDA Netwworks,samantha@suresealsa.com,julian.campos@suresealsa.com,alysa.gauna@suresealsa.com,felicia.romero@suresealsa.com,Rose.tovar@suresealsa.com,xavier.tovar@suresealsa.com,chris.tovar@suresealsa.com,,
18302403821,Augusta Vin Winery,T3 Comm,Tammy@augustavin.com,sfelder@augustavin.com,Jesse@augustavin.com,Cparker@augustavin.com,,,,
19037944884,Workforce Solutions,T3 Comm,april.corbit@netxworks.org,debra.burkhalter@netxworks.org,Lance.love@netxworks.org,Christopher.hicks@netxworks.org,Sharon.davis@netxworks.org,,,
19037948004,Workforce Solutions,T3 Comm,ccs8004faxes@netxworks.org,,,,,,,
17139037891,First Choice Telecom,First Choice Telecom,klaurita@firstchoicetele.com,smillstid@firstchoicetele.com,,,,,,
19037948012,Workforce Solutions,T3 Comm,ccs8012faxes@netxworks.org,,,,,,,
19037948014,Workforce Solutions,T3 Comm,ccs8014faxes@netxworks.org,,,,,,,
12085254885,High Valley Dermatology,ECSI,drminer@highvalleydermatology.com,drsewell@highvalleydermatology.com,greg@highvalleydermatology.com,nurses@highvalleydermatology.com,office@highvalleydermatology.com,,,,
18172496965,T3 Comm NOC,T3 Comm,edward.weakland@gmail.com,a.ramon@t3com.net,e.weakland@t3com.net,,,,,
12106357771,VP Racing,TDA Netwworks,Linda.villarreal@vpracingfuels.com,,,,,,,
12106253152,T3 Comm,T3 Comm,c.slaughter@t3com.net,,,,,,,
12085467128,Carpet Direct,ECSI,wadehath@ida.net,,,,,,,
18308162409,Legacy Collaborative,T3 Comm,mnau@stic.net,jsnau@stic.net,,,,,,
16012586667,Camper Corral MS,Sync IT Solution,debra@campercorralms.com,amanda@campercorralms.com,campercorralefax@campercorralms.com,,,,,
12085234510,Thomas Drilling Inc,ECSI,tyson@thomasdrillinginc.com,,,,,,,
18172496922,Benbrook Water Authority,T3 Comm,morris@benbrookwater.com,mpv@benbrookwater.com,sutton@benbrookwater.com,,,,,
18172496965,Benbrook Water Authority,T3 Comm,lonnie@benbrookwater.com,j.williams@benbrookwater.com,lori@benbrookwater.com,smith@benbrookwater.com,ramsey@benbrookwater.com,bwsa@bwsa.org,,,
18172497489,Benbrook Water Authority,T3 Comm,gail@benbrookwater.com,laurie@benbrookwater.com,,,,,,
18172494726,Benbrook Water Authority,T3 Comm,kohley@benbrookwater.com,brad@benbrookwater.com,mitch@benbrookwater.com,,,,,
12085421952,Dixies Diner,ECSI,garyanderson072@gmail.com,idahodiner@cableone.net,,,,,,
19035826861,Workforce Solutions,T3 Comm,mona.reid@netxworks.org,,,,,,,
19033475208,Workforce Solutions,T3 Comm,Carolyn.johnson@netxworks.org,,,,,,,
19033475207,Workforce Solutions,T3 Comm,lisa.collins@netxworks.org,,,,,,,
19034031815,Workforce Solutions,T3 Comm,ricky.hayman@netxworks.org,,,,,,,
19032058439,Workforce Solutions,T3 Comm,cita.webster@netxworks.org,,,,,,,
19032058440,Workforce Solutions,T3 Comm,lois.boger@twc.state.tx.us,,,,,,,
18052430328,Premise Health,T3 Comm,magdalena.carrizosa@premisehealth.com.sujey.delatrinidad@premisehealth.com
19032058440,Workforce Solutions,T3 Comm,lois.boger@twc.state.tx.us	
12082167261,T3 Comm,T3 Comm,records@sterlingm.net	
12082693106,T3 Comm,T3 Comm,barecov2070@gmail.com	
12085467590,T3 Comm,T3 Comm,fallsirr@cableone.net	
12085231324,T3 Comm,T3 Comm,ultramarine212@gmail.com	
